"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"1112",2037,65.3073495239019,62.7514002965153,74.5247329060846,60
"1112",2038,66.4414215126759,63.367808686322,77.63119984276,60
"1112",2039,67.8574673678781,64.1815703704033,81.3843677135524,60
"1112",2040,68.6602040887869,64.5512314380024,83.8568055700055,60
"1112",2041,70.3893257546221,65.5821365739077,88.3624604967315,60
"1112",2042,72.1331262298024,66.6153644522753,92.9672258974356,60
"1112",2043,72.9216521774739,66.9671817300328,95.4701363436695,60
"1112",2044,75.1674101719253,68.3450740834347,101.293997005382,60
"1112",2045,77.0385591550054,69.4073128761417,106.314857029548,60
"1112",2046,78.3533662202056,70.0886085221329,110.08207433884,60
"1112",2047,80.678185321875,71.4253488132924,116.270077998134,60
"1112",2048,81.5953574106034,71.8355280871154,119.139523525519,60
"1112",2049,84.7736681495483,73.6799944269029,127.503996651425,60
"1112",2050,85.9987912980531,74.2791387294975,131.158847102151,60
"1114",2026,17.4923063463499,17.4807151844273,18.2272513564932,60
"1114",2027,17.7292059753744,17.70938735953,18.7673099911971,60
"1114",2028,18.0713600002798,18.0319671260125,19.4759809338411,60
"1114",2029,18.4289853979488,18.3676728805152,20.2044017074701,60
"1114",2030,18.8607825122292,18.7577136973054,21.0307625646196,60
"1114",2031,19.1960951106407,19.0721073086102,21.7141205605786,60
"1114",2032,19.7975338128016,19.5990903651781,22.8754895298791,60
"1114",2033,20.5205999901051,20.228336382913,24.2831019845395,60
"1114",2034,21.0694000738466,20.7180851794009,25.3701286344497,60
"1114",2035,21.8186641026293,21.369574188681,26.8468499138596,60
"1114",2036,22.5900127128147,22.0393669522787,28.3679854916757,60
